08-00249744,Tree Planting -,"294 E PEARSON ST , CHICAGO, IL, 2-Ward",,"Feb 11, 2008","JUL 18, 2008",Completed,Bureau of Forestry -,
"",Green Streets,60611,,02:49 PM,12:00 AM,,Green Streets,
"",,COOK,,,,,,
08-00289080,Tree Planting -,"1445 W CHICAGO AVE , CHICAGO, 27-Ward",,"Feb 18, 2008","OCT 23, 2008",Completed,Bureau of Forestry -,06DB 7D
"",Green Streets,"IL, 60622",,02:46 PM,12:00 AM,,Green Streets,
"",,COOK,,,,,,
08-00289091,Tree Planting -,"1010 N HUDSON AVE , CHICAGO, IL, 27-Ward",,"Feb 18, 2008","JUL 18, 2008",Completed,Bureau of Forestry -,VACANT LOT UNDER
"",Green Streets,60610,,02:47 PM,12:00 AM,,Green Streets,DEVELOPMENT; PARKWAY
"",,"COOK, OLD JENNER ELEMENTARY",,,,,,NOT CONDUSIVE FOR TREE
"",,SCHOOL,,,,,,PLANTING
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00332195,Tree Planting -,"1415 N ASTOR ST , CHICAGO, IL,",43-Ward,"Feb 25, 2008","JUL 18, 2008",Completed,Bureau of Forestry -,CANNOT PLANT; WITHIN 10'
"",Green Streets,60610,,02:48 PM,12:00 AM,,Green Streets,NO PLANT ZONE OF ALLEY OR
"",,COOK,,,,,,DRIVEWAY
08-00348158,Tree Planting -,"1505 N ASTOR ST , CHICAGO, IL,",43-Ward,"Feb 27, 2008","JUL 18, 2008",Completed,Bureau of Forestry -,CANNOT PLANT; PRIVATE
"",Green Streets,60610,,02:57 PM,12:00 AM,,Green Streets,FENCE MUST BE REMOVED
"",,COOK,,,,,,BY HOMWONER IN ORDER
"",,,,,,,,FOR TREE PLANTING TO
"",,,,,,,,PROCEED
08-00390655,Tree Planting -,"1111 S RACINE AVE , CHICAGO, IL,",25-Ward,"Mar 05, 2008","JUL 18, 2008",Completed,Bureau of Forestry -,"06-23""  DEAD 45% ANGLE"
"",Green Streets,60607,,03:06 PM,12:00 AM,,Green Streets,TOWARD HOUSE
"",,COOK,,,,,,
08-00513767,Tree Planting -,"529 N MILWAUKEE AVE , CHICAGO,",27-Ward,"Mar 25, 2008","JUL 18, 2008",Completed,Bureau of Forestry -,walks vaulted
"",Green Streets,"IL, 60622",,09:27 AM,12:00 AM,,Green Streets,
"",,COOK,,,,,,
08-00517342,Tree Planting -,"2344 W 19TH ST , CHICAGO, IL,",25-Ward,"Mar 25, 2008","APR 24, 2008",Completed,Bureau of Forestry -,OP ALADDIN 30ME 04.24.08
"",Green Streets,60608,,01:52 PM,01:54 PM,,Green Streets,
"",,COOK,,,,,,
08-00517351,Tree Planting -,"2346 W 19TH ST , CHICAGO, IL,",25-Ward,"Mar 25, 2008","APR 24, 2008",Completed,Bureau of Forestry -,OP ALADDIN 30ME 04.24.08
"",Green Streets,60608,,01:52 PM,01:55 PM,,Green Streets,
"",,COOK,,,,,,
08-00517358,Tree Planting -,"2146 W 21ST ST , CHICAGO, IL,",25-Ward,"Mar 25, 2008","MAY 16, 2008",Completed,Bureau of Forestry -,NCO HBP
"",Green Streets,60608,,01:53 PM,12:56 PM,,Green Streets,
"",,COOK,,,,,,
08-00517479,Tree Planting -,"304 N ARTESIAN AVE , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 07, 2008",Completed,Bureau of Forestry -,2P TURFCARE 01TF 05.07.08
"",Green Streets,"IL, 60612",,02:03 PM,09:17 AM,,Green Streets,
"",,COOK,,,,,,
08-00517490,Tree Planting -,"3601 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,3P TURFCARE 01TF 05.01.08
"",Green Streets,"IL, 60651",,02:04 PM,01:18 PM,,Green Streets,
"",,COOK,,,,,,
08-00517497,Tree Planting -,"3602 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,3P TURFCARE 01XF 05.01.08
"",Green Streets,"IL, 60651",,02:05 PM,01:17 PM,,Green Streets,
"",,COOK,,,,,,
08-00517503,Tree Planting -,"3627 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,3P TURFCARE 30ME 05.02.08
"",Green Streets,"IL, 60651",,02:05 PM,08:53 AM,,Green Streets,
"",,COOK,,,,,,
08-00517516,Tree Planting -,"3633 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,P TURFCARE 25ZF 05.01.08
"",Green Streets,"IL, 60651",,02:06 PM,01:17 PM,,Green Streets,
"",,COOK,,,,,,
08-00517526,Tree Planting -,"3634 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,4P TURFCARE 01XF 05.01.08
"",Green Streets,"IL, 60651",,02:07 PM,01:16 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00517854,Tree Planting -,"3657 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,2P TURFCARE 25ZF 05.01.08
"",Green Streets,"IL, 60651",,02:07 PM,01:15 PM,,Green Streets,
"",,COOK,,,,,,
08-00517861,Tree Planting -,"3658 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,3P TURFCARE 30ME 05.02.08
"",Green Streets,"IL, 60651",,02:30 PM,08:54 AM,,Green Streets,
"",,COOK,,,,,,
08-00517868,Tree Planting -,"3701 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,2P TURFCARE 07ZC 05.01.08
"",Green Streets,"IL, 60651",,02:31 PM,01:14 PM,,Green Streets,
"",,COOK,,,,,,
08-00517874,Tree Planting -,"3702 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,2P TURFCARE 25ZF 05.01.08
"",Green Streets,"IL, 60651",,02:31 PM,01:14 PM,,Green Streets,
"",,COOK,,,,,,
08-00517888,Tree Planting -,"3725 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,3P TURFCARE 30ME 05.02.08
"",Green Streets,"IL, 60651",,02:32 PM,08:55 AM,,Green Streets,
"",,COOK,,,,,,
08-00517894,Tree Planting -,"3726 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,1P TURFCARE 01XF 05.01.08
"",Green Streets,"IL, 60651",,02:33 PM,01:13 PM,,Green Streets,
"",,COOK,,,,,,
08-00517897,Tree Planting -,"3734 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,4P TURFCARE 01TF 05.01.08
"",Green Streets,"IL, 60651",,02:33 PM,01:12 PM,,Green Streets,
"",,COOK,,,,,,
08-00517911,Tree Planting -,"3751 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","APR 30, 2008",Completed,Bureau of Forestry -,3P TURFCARE 25ZF 04.30.08
"",Green Streets,"IL, 60651",,02:34 PM,01:00 PM,,Green Streets,
"",,COOK,,,,,,
08-00517934,Tree Planting -,"3752 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","APR 30, 2008",Completed,Bureau of Forestry -,3P TURFCARE 07ZC 04.30.08
"",Green Streets,"IL, 60651",,02:34 PM,01:00 PM,,Green Streets,
"",,COOK,,,,,,
08-00517946,Tree Planting -,"3801 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","APR 30, 2008",Completed,Bureau of Forestry -,2P TURFCARE 25ZF 04.30.08
"",Green Streets,"IL, 60651",,02:36 PM,01:02 PM,,Green Streets,
"",,COOK,,,,,,
08-00517963,Tree Planting -,"3802 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,3P TURFCARE 30ME 05.02.08
"",Green Streets,"IL, 60651",,02:37 PM,08:55 AM,,Green Streets,
"",,COOK,,,,,,
08-00517974,Tree Planting -,"3816 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","APR 30, 2008",Completed,Bureau of Forestry -,1P TURFCARE 01TF 04.30.08
"",Green Streets,"IL, 60651",,02:38 PM,01:03 PM,,Green Streets,
"",,COOK,,,,,,
08-00517987,Tree Planting -,"3817 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","APR 30, 2008",Completed,Bureau of Forestry -,1P TURFCARE 01TF 04.30.08
"",Green Streets,"IL, 60651",,02:39 PM,01:03 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00517993,Tree Planting -,"3819 W AUGUSTA BLVD , CHICAGO,",27-Ward,"Mar 25, 2008","APR 30, 2008",Completed,Bureau of Forestry -,1P TURFCARE 04.30.08
"",Green Streets,"IL, 60651",,02:39 PM,01:04 PM,,Green Streets,
"",,COOK,,,,,,
08-00518003,Tree Planting -,"3842 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 25, 2008","APR 30, 2008",Completed,Bureau of Forestry -,2P TURFCARE 25ZF 04.30.08
"",Green Streets,"IL, 60651",,02:40 PM,01:04 PM,,Green Streets,
"",,COOK,,,,,,
08-00518011,Tree Planting -,"3901 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 25, 2008","APR 30, 2008",Completed,Bureau of Forestry -,1P TURFCARE 01TF 04.30.08
"",Green Streets,"IL, 60651",,02:40 PM,01:05 PM,,Green Streets,
"",,COOK,,,,,,
08-00518024,Tree Planting -,"3902 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 25, 2008","APR 30, 2008",Completed,Bureau of Forestry -,4P TURFCARE 01TF 04.30.08
"",Green Streets,"IL, 60651",,02:41 PM,01:06 PM,,Green Streets,
"",,COOK,,,,,,
08-00518030,Tree Planting -,"3917 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 25, 2008","APR 30, 2008",Completed,Bureau of Forestry -,3P TURFCARE 25ZF 04.30.08
"",Green Streets,"IL, 60651",,02:42 PM,01:08 PM,,Green Streets,
"",,COOK,,,,,,
08-00518043,Tree Planting -,"3933 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 25, 2008","APR 28, 2008",Completed,Bureau of Forestry -,1P TURFCARE 01TF 04.28.08
"",Green Streets,"IL, 60651",,02:42 PM,12:51 PM,,Green Streets,
"",,COOK,,,,,,
08-00518050,Tree Planting -,"3934 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 25, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,3P TURFCARE 030ME 05.02.08
"",Green Streets,"IL, 60651",,02:42 PM,08:56 AM,,Green Streets,
"",,COOK,,,,,,
08-00518064,Tree Planting -,"3945 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 25, 2008","APR 28, 2008",Completed,Bureau of Forestry -,1P TURFCARE 25ZF 04.28.08
"",Green Streets,"IL, 60651",,02:43 PM,12:52 PM,,Green Streets,
"",,COOK,,,,,,
08-00518073,Tree Planting -,"3949 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 25, 2008","APR 18, 2008",Completed,Bureau of Forestry -,2NCO 7D 06DB 04.18.08
"",Green Streets,"IL, 60651",,02:44 PM,08:20 AM,,Green Streets,
"",,COOK,,,,,,
08-00518087,Tree Planting -,"3952 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 25, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,1P TURFCARE 30ME 05.02.08
"",Green Streets,"IL, 60651",,02:44 PM,08:56 AM,,Green Streets,
"",,COOK,,,,,,
08-00531203,Tree Planting -,"4015 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","APR 28, 2008",Completed,Bureau of Forestry -,2P TURFCARE 07ZC 04.28.08
"",Green Streets,"IL, 60651",,09:38 AM,12:53 PM,,Green Streets,
"",,COOK,,,,,,
08-00531236,Tree Planting -,"4016 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","APR 28, 2008",Completed,Bureau of Forestry -,1P TURFCARE 01PF 04.28.08
"",Green Streets,"IL, 60651",,09:41 AM,12:54 PM,,Green Streets,
"",,COOK,,,,,,
08-00531244,Tree Planting -,"4033 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","APR 28, 2008",Completed,Bureau of Forestry -,1P TURFCARE 01TF 04.28.08
"",Green Streets,"IL, 60651",,09:41 AM,12:55 PM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00531252,Tree Planting -,"4034 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","APR 28, 2008",Completed,Bureau of Forestry -,1P TURFCARE 01PF 04.28.08
"",Green Streets,"IL, 60651",,09:42 AM,12:56 PM,,Green Streets,
"",,COOK,,,,,,
08-00531255,Tree Planting -,"4056 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","APR 28, 2008",Completed,Bureau of Forestry -,1P TURFCARE 01PF 04.28.08
"",Green Streets,"IL, 60651",,09:42 AM,12:56 PM,,Green Streets,
"",,COOK,,,,,,
08-00531258,Tree Planting -,"4057 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","APR 28, 2008",Completed,Bureau of Forestry -,4P TURFCARE 01TF 04.28.08
"",Green Streets,"IL, 60651",,09:42 AM,12:57 PM,,Green Streets,
"",,COOK,,,,,,
08-00531270,Tree Planting -,"4101 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","APR 28, 2008",Completed,Bureau of Forestry -,2P TURFCARE 01PF 04.28.08
"",Green Streets,"IL, 60651",,09:43 AM,12:58 PM,,Green Streets,
"",,COOK,,,,,,
08-00531276,Tree Planting -,"4106 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","APR 28, 2008",Completed,Bureau of Forestry -,3P TURFCARE 01TF 04.28.08
"",Green Streets,"IL, 60651",,09:43 AM,12:58 PM,,Green Streets,
"",,COOK,,,,,,
08-00531314,Tree Planting -,"4128 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","MAY 10, 2008",Completed,Bureau of Forestry -,1P TURFCARE 06ZB 05.10.08
"",Green Streets,"IL, 60651",,09:47 AM,10:18 AM,,Green Streets,
"",,COOK,,,,,,
08-00531325,Tree Planting -,"4129 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","APR 28, 2008",Completed,Bureau of Forestry -,3P TURFCARE 25ZF 04.28.08
"",Green Streets,"IL, 60651",,09:47 AM,12:59 PM,,Green Streets,
"",,COOK,,,,,,
08-00531331,Tree Planting -,"4133 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","MAY 10, 2008",Completed,Bureau of Forestry -,2P TURFCARE 06ZB 05.10.08
"",Green Streets,"IL, 60651",,09:48 AM,10:19 AM,,Green Streets,
"",,COOK,,,,,,
08-00531354,Tree Planting -,"4136 W AUGUSTA BLVD , CHICAGO,",37-Ward,"Mar 27, 2008","MAY 10, 2008",Completed,Bureau of Forestry -,1PTURFCARE 06ZB 05.10.08
"",Green Streets,"IL, 60651",,09:49 AM,10:20 AM,,Green Streets,
"",,COOK,,,,,,
08-00531379,Tree Planting -,"757 N CALIFORNIA AVE , CHICAGO,",26-Ward,"Mar 27, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,2P 7D 30ME 05.05.08
"",Green Streets,"IL, 60612",,09:51 AM,09:15 AM,,Green Streets,
"",,COOK,,,,,,
08-00531387,Tree Planting -,"861 N CALIFORNIA AVE , CHICAGO,",26-Ward,"Mar 27, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,3NCO ON IOWA 7D 25ZF
"",Green Streets,"IL, 60622",,09:52 AM,09:14 AM,,Green Streets,05.05.08
"",,COOK,,,,,,
08-00531396,Tree Planting -,"863 N CALIFORNIA AVE , CHICAGO,",26-Ward,"Mar 27, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,1P ON IOWA 7D 25ZF 05.05.08
"",Green Streets,"IL, 60622",,09:52 AM,09:15 AM,,Green Streets,
"",,COOK,,,,,,
08-00531401,Tree Planting -,"945 N CALIFORNIA AVE , CHICAGO,",26-Ward,"Mar 27, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,3NCO 7D 01PF 05.05.08
"",Green Streets,"IL, 60622",,09:53 AM,09:11 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00531412,Tree Planting -,"1007 N CALIFORNIA AVE ,",26-Ward,"Mar 27, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,2NCO 7D 01PF 05.05.08
"",Green Streets,"CHICAGO, IL, 60622",,09:54 AM,09:19 AM,,Green Streets,
"",,COOK,,,,,,
08-00531432,Tree Planting -,"1016 N CALIFORNIA AVE ,",26-Ward,"Mar 27, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,1NCO 7D 01PF 05.05.08
"",Green Streets,"CHICAGO, IL, 60622",,09:55 AM,09:19 AM,,Green Streets,
"",,COOK,,,,,,
08-00531441,Tree Planting -,"1018 N CALIFORNIA AVE ,",26-Ward,"Mar 27, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,1NCO 7D 30ME 05.05.08
"",Green Streets,"CHICAGO, IL, 60622",,09:55 AM,09:18 AM,,Green Streets,
"",,COOK,,,,,,
08-00531469,Tree Planting -,"1030 N CALIFORNIA AVE ,",26-Ward,"Mar 27, 2008","APR 18, 2008",Completed,Bureau of Forestry -,1NCO 7D 06DB 04.18.08
"",Green Streets,"CHICAGO, IL, 60622",,09:57 AM,08:15 AM,,Green Streets,
"",,COOK,,,,,,
08-00531484,Tree Planting -,"1035 N CALIFORNIA AVE ,",1-Ward,"Mar 27, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,1NCO 7D 25ZF 05.05.08
"",Green Streets,"CHICAGO, IL, 60622",,09:58 AM,09:16 AM,,Green Streets,
"",,COOK,,,,,,
08-00531495,Tree Planting -,"1036 N CALIFORNIA AVE ,",26-Ward,"Mar 27, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,1NCO 7D 25ZF 05.05.08
"",Green Streets,"CHICAGO, IL, 60622",,09:59 AM,09:16 AM,,Green Streets,
"",,COOK,,,,,,
08-00531508,Tree Planting -,"1043 N CALIFORNIA AVE ,",1-Ward,"Mar 27, 2008","MAY 05, 2008",Completed,Bureau of Forestry -,1NCO 7D 30ME 05.05.08
"",Green Streets,"CHICAGO, IL, 60622",,10:00 AM,09:17 AM,,Green Streets,
"",,COOK,,,,,,
08-00531516,Tree Planting -,"1047 N CALIFORNIA AVE ,",1-Ward,"Mar 27, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,1NCO 7D 30ME 05.02.08
"",Green Streets,"CHICAGO, IL, 60622",,10:01 AM,12:04 PM,,Green Streets,
"",,COOK,,,,,,
08-00531523,Tree Planting -,"1051 N CALIFORNIA AVE ,",1-Ward,"Mar 27, 2008","APR 18, 2008",Completed,Bureau of Forestry -,1NCO 7D 06DB 04.18.08
"",Green Streets,"CHICAGO, IL, 60622",,10:01 AM,08:16 AM,,Green Streets,
"",,COOK,,,,,,
08-00531535,Tree Planting -,"1056 N CALIFORNIA AVE ,",26-Ward,"Mar 27, 2008","MAY 06, 2008",Completed,Bureau of Forestry -,5NCO 7D 01PF 05.06.08
"",Green Streets,"CHICAGO, IL, 60622",,10:02 AM,01:54 PM,,Green Streets,
"",,COOK,,,,,,
08-00531541,Tree Planting -,"1057 N CALIFORNIA AVE ,",1-Ward,"Mar 27, 2008","MAY 02, 2008",Completed,Bureau of Forestry -,3P 7D 25ZF 05.02.08 ON
"",Green Streets,"CHICAGO, IL, 60622",,10:02 AM,12:05 PM,,Green Streets,THOMAS
"",,COOK,,,,,,
08-00531568,Tree Planting -,"1105 N CALIFORNIA AVE ,",1-Ward,"Mar 27, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,2NCO 7D 01PF 05.01.08
"",Green Streets,"CHICAGO, IL, 60622",,10:04 AM,11:53 AM,,Green Streets,
"",,COOK,,,,,,
08-00531586,Tree Planting -,"1116 N CALIFORNIA AVE ,",26-Ward,"Mar 27, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,1NCO 7D 30ME 05.01.08
"",Green Streets,"CHICAGO, IL, 60622",,10:05 AM,11:52 AM,,Green Streets,
"",,COOK,,,,,,
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00531596,Tree Planting -,"1121 N CALIFORNIA AVE ,",1-Ward,"Mar 27, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,1NCO 7D 25ZF 05.01.08
"",Green Streets,"CHICAGO, IL, 60622",,10:06 AM,11:54 AM,,Green Streets,
"",,COOK,,,,,,
08-00531604,Tree Planting -,"1137 N CALIFORNIA AVE ,",1-Ward,"Mar 27, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,1NCO 7D 25ZF 05.01.08
"",Green Streets,"CHICAGO, IL, 60622",,10:06 AM,11:54 AM,,Green Streets,
"",,COOK,,,,,,
08-00576567,Tree Planting -,"1300 W 13TH ST , CHICAGO, IL,",25-Ward,"Apr 03, 2008","SEP 29, 2008",Completed,Bureau of Forestry -,1OP 06DB 7D 09.29.08
"",Green Streets,60608,,11:37 AM,12:00 AM,,Green Streets,
"",,COOK,,,,,,
08-00577293,Tree Planting -,"980 W CULLERTON ST , CHICAGO,",25-Ward,"Apr 03, 2008","OCT 03, 2008",Completed,Bureau of Forestry -,1OP 06DB 7D
"",Green Streets,"IL, 60608",,12:54 PM,12:00 AM,,Green Streets,
"",,COOK,,,,,,
08-00595720,Tree Planting -,"1510 N GREENVIEW AVE ,",1-Ward,"Apr 07, 2008","OCT 23, 2008",Completed,Bureau of Forestry -,1NCO 01TF 7D
"",Green Streets,"CHICAGO, IL, 60622",,01:06 PM,12:00 AM,,Green Streets,
"",,COOK,,,,,,
08-00601463,Tree Planting -,"604 S LOOMIS ST , CHICAGO, IL,",28-Ward,"Apr 08, 2008","JUL 09, 2008",Completed,Bureau of Forestry -,CNP PRIVATE PROPERTY;
"",Green Streets,60607,,09:36 AM,11:12 AM,,Green Streets,CNP LOCATION  WITHIN 10' OF
"",,COOK,,,,,,ALLEY AND DRIVEWAY
08-00601467,Tree Planting -,"606 S LOOMIS ST , CHICAGO, IL,",28-Ward,"Apr 08, 2008","JUL 09, 2008",Completed,Bureau of Forestry -,CNP PRIVATE PROPERTY;
"",Green Streets,60607,,09:37 AM,11:13 AM,,Green Streets,CNP LOCATION  WITHIN 10' OF
"",,COOK,,,,,,ALLEY AND DRIVEWAY
08-00601471,Tree Planting -,"551 S LOOMIS ST , CHICAGO, IL,",28-Ward,"Apr 08, 2008","JUL 09, 2008",Completed,Bureau of Forestry -,
"",Green Streets,60607,,09:37 AM,11:09 AM,,Green Streets,
"",,COOK,,,,,,
08-00603135,Tree Planting -,"1301 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 28, 2008",Completed,Bureau of Forestry -,1P 7D 01PF 04.28.08
"",Green Streets,"CHICAGO, IL, 60622",,11:49 AM,10:46 AM,,Green Streets,
"",,COOK,,,,,,
08-00603145,Tree Planting -,"1308 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 29, 2008",Completed,Bureau of Forestry -,3P 7D 30ME 04.29.08
"",Green Streets,"CHICAGO, IL, 60622",,11:50 AM,10:55 AM,,Green Streets,
"",,COOK,,,,,,
08-00603162,Tree Planting -,"1325 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 28, 2008",Completed,Bureau of Forestry -,1P 7D 30ME 04.28.08
"",Green Streets,"CHICAGO, IL, 60622",,11:51 AM,10:47 AM,,Green Streets,
"",,COOK,,,,,,
08-00603175,Tree Planting -,"1326 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 29, 2008",Completed,Bureau of Forestry -,1P 7D 01LF 04.29.08
"",Green Streets,"CHICAGO, IL, 60622",,11:51 AM,10:59 AM,,Green Streets,
"",,COOK,,,,,,
08-00603184,Tree Planting -,"1331 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 28, 2008",Completed,Bureau of Forestry -,4P 3/ 01LF PLANTED ON
"",Green Streets,"CHICAGO, IL, 60622",,11:52 AM,10:50 AM,,Green Streets,04.28.08 AND 1/ 01LF PLANTED
"",,COOK,,,,,,ON 04.29.08/  RAIN ON 28
"",,,,,,,,CAUSED WORK STOP 7D
SR #,Type,Location,Area,Created Date,Activity Date,Status,Group,Description
08-00603192,Tree Planting -,"1332 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 29, 2008",Completed,Bureau of Forestry -,1P 7D 25ZF 04.29.08
"",Green Streets,"CHICAGO, IL, 60622",,11:53 AM,10:58 AM,,Green Streets,
"",,COOK,,,,,,
08-00603200,Tree Planting -,"1333 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 29, 2008",Completed,Bureau of Forestry -,3P 7D 25ZF 04.29.08
"",Green Streets,"CHICAGO, IL, 60622",,11:53 AM,10:51 AM,,Green Streets,
"",,COOK,,,,,,
08-00603205,Tree Planting -,"1335 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 29, 2008",Completed,Bureau of Forestry -,2NCO 7D 30ME 04.29.08
"",Green Streets,"CHICAGO, IL, 60622",,11:54 AM,10:51 AM,,Green Streets,
"",,COOK,,,,,,
08-00603209,Tree Planting -,"1336 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 29, 2008",Completed,Bureau of Forestry -,2P 7D 25ZF 04.29.08
"",Green Streets,"CHICAGO, IL, 60622",,11:55 AM,10:57 AM,,Green Streets,
"",,COOK,,,,,,
08-00603219,Tree Planting -,"1343 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 29, 2008",Completed,Bureau of Forestry -,1P 7D 01PF 04.29.08
"",Green Streets,"CHICAGO, IL, 60622",,11:55 AM,10:52 AM,,Green Streets,
"",,COOK,,,,,,
08-00603223,Tree Planting -,"1344 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 29, 2008",Completed,Bureau of Forestry -,1P 7D 01LF 04.29.08
"",Green Streets,"CHICAGO, IL, 60622",,11:56 AM,10:55 AM,,Green Streets,
"",,COOK,,,,,,
08-00603226,Tree Planting -,"1349 N CALIFORNIA AVE ,",26-Ward,"Apr 08, 2008","APR 29, 2008",Completed,Bureau of Forestry -,1P 7D 01PF 04.29.08
"",Green Streets,"CHICAGO, IL, 60622",,11:56 AM,10:54 AM,,Green Streets,
"",,COOK,,,,,,
08-00603238,Tree Planting -,"1401 N CALIFORNIA AVE ,",1-Ward,"Apr 08, 2008","MAY 01, 2008",Completed,Bureau of Forestry -,2P 7D 01LF 05.01.08
"",Green Streets,"CHICAGO, IL, 60622",,11:57 AM,11:55 AM,,Green Streets,
"",,COOK,,,,,,
08-00603242,Tree Planting -,"1457 N CALIFORNIA AVE ,",1-Ward,"Apr 08, 2008","APR 30, 2008",Completed,Bureau of Forestry -,4P 7D 01PF 04.30.08
"",Green Streets,"CHICAGO, IL, 60622",,11:57 AM,11:44 AM,,Green Streets,
"",,COOK,,,,,,
